library_name,game,manufacturer,year,v1_slug,v2_name_observed,v2_candidates,v3_practice_identity,opdb_id,v1_playfield_700_exists,v2_playfield_700_exists,v3_playfield_700_exists,v1_rulesheet_exists,v2_rulesheet_exists,v3_rulesheet_exists,v1_playfield_700_name,v2_playfield_700_name,v3_playfield_700_name,v1_rulesheet_name,v2_rulesheet_name,v3_rulesheet_name,asset_playfield_local_legacy,asset_playfield_local_practice,match_confidence
RLM Amusements,Star Wars: Fall of the Empire,Stern,2025,stern--star-wars-fall-of-the-empire--2025,star-wars-fall-of-the-empire,star-wars-fall-of-the-empire,Gxv81,Gxv81-M610r,True,True,True,False,False,True,stern--star-wars-fall-of-the-empire--2025-playfield_700.webp,star-wars-fall-of-the-empire_700.webp,Gxv81-playfield_700.webp,stern--star-wars-fall-of-the-empire--2025-rulesheet.md,star-wars-fall-of-the-empire-rulesheet.md,Gxv81-rulesheet.md,,/pinball/images/playfields/Gxv81-playfield.jpg,high
RLM Amusements,Tales from the Crypt,DE,1993,de--tales-from-the-crypt--1993,,,GR6wO,GR6wO-MDvzk,True,False,True,False,False,True,de--tales-from-the-crypt--1993-playfield_700.webp,,GR6wO-playfield_700.webp,de--tales-from-the-crypt--1993-rulesheet.md,,GR6wO-rulesheet.md,,/pinball/images/playfields/GR6wO-playfield.jpg,missing
RLM Amusements,The Getaway: High Speed II,Williams,1992,williams--the-getaway-high-speed-ii--1992,the-getaway-high-speed-ii,the-getaway-high-speed-ii,Grx8Y,Grx8Y-MKNe9,True,True,True,False,False,True,williams--the-getaway-high-speed-ii--1992-playfield_700.webp,the-getaway-high-speed-ii_700.webp,Grx8Y-playfield_700.webp,williams--the-getaway-high-speed-ii--1992-rulesheet.md,the-getaway-high-speed-ii-rulesheet.md,Grx8Y-rulesheet.md,,/pinball/images/playfields/Grx8Y-playfield.jpg,high
RLM Amusements,The Shadow,Midway,1994,midway--shadow--1994,,,G4jPX,G4jPX-M85YZ,True,False,True,False,False,True,midway--shadow--1994-playfield_700.webp,,G4jPX-playfield_700.webp,midway--shadow--1994-rulesheet.md,,G4jPX-rulesheet.md,,/pinball/images/playfields/G4jPX-playfield.jpg,missing
RLM Amusements,The Uncanny X-Men,Stern,2024,stern--uncanny-x-men--2024,the-uncanny-x-men,the-uncanny-x-men,G7ZEz,G7ZEz-MBRYn,True,True,True,False,False,True,stern--uncanny-x-men--2024-playfield_700.webp,the-uncanny-x-men_700.webp,G7ZEz-playfield_700.webp,stern--uncanny-x-men--2024-rulesheet.md,the-uncanny-x-men-rulesheet.md,G7ZEz-rulesheet.md,,/pinball/images/playfields/G7ZEz-playfield.jpg,high
RLM Amusements,Total Nuclear Annihilation,Spooky,2017,spooky--total-nuclear-annihilation--2017,,,GRD79,GRD79-M0odk,True,False,True,False,False,True,spooky--total-nuclear-annihilation--2017-playfield_700.webp,,GRD79-playfield_700.webp,spooky--total-nuclear-annihilation--2017-rulesheet.md,,GRD79-rulesheet.md,,/pinball/images/playfields/GRD79-playfield.jpg,missing
RLM Amusements,Totem,Gottlieb,1979,gottlieb--totem--1979,,,G5YDN,G5YDN-MJKYo,True,False,True,False,False,True,gottlieb--totem--1979-playfield_700.webp,,G5YDN-playfield_700.webp,gottlieb--totem--1979-rulesheet.md,,G5YDN-rulesheet.md,,/pinball/images/playfields/G5YDN-playfield.jpg,missing
The Avenue Cafe,AC/DC,Stern,2012,stern--ac-dc--2012,ac-dc,ac-dc,G43W4,G43W4-MXrPx,True,True,True,False,False,True,stern--ac-dc--2012-playfield_700.webp,ac-dc_700.webp,G43W4-playfield_700.webp,stern--ac-dc--2012-rulesheet.md,ac-dc-rulesheet.md,G43W4-rulesheet.md,,/pinball/images/playfields/G43W4-playfield.jpg,high
The Avenue Cafe,Attack from Mars,Bally,1995,bally--attack-from-mars--1995,attack-from-mars,attack-from-mars,G4do5,G4do5-MDlN7,True,True,True,False,False,True,bally--attack-from-mars--1995-playfield_700.webp,attack-from-mars_700.webp,G4do5-playfield_700.webp,bally--attack-from-mars--1995-rulesheet.md,attack-from-mars-rulesheet.md,G4do5-rulesheet.md,,/pinball/images/playfields/G4do5-playfield.jpg,high
The Avenue Cafe,Avengers: Infinity Quest,Stern,2020,stern--avengers-infinity-quest--2020,avengers-infinity-quest,avengers-infinity-quest,Gj66P,Gj66P-MXr0E,True,True,True,False,False,True,stern--avengers-infinity-quest--2020-playfield_700.webp,avengers-infinity-quest_700.webp,Gj66P-playfield_700.webp,stern--avengers-infinity-quest--2020-rulesheet.md,avengers-infinity-quest-rulesheet.md,Gj66P-rulesheet.md,,/pinball/images/playfields/Gj66P-playfield.jpg,high
The Avenue Cafe,Black Knight: Sword of Rage,Stern,2019,stern--black-knight-sword-of-rage--2019,black-knight-sword-of-rage,black-knight-sword-of-rage,GD7Ld,GD7Ld-MBRP4,True,True,True,False,False,True,stern--black-knight-sword-of-rage--2019-playfield_700.webp,black-knight-sword-of-rage_700.webp,GD7Ld-playfield_700.webp,stern--black-knight-sword-of-rage--2019-rulesheet.md,black-knight-sword-of-rage-rulesheet.md,GD7Ld-rulesheet.md,,/pinball/images/playfields/GD7Ld-playfield.jpg,high
The Avenue Cafe,Cactus Canyon,Bally,1998,bally--cactus-canyon--1998,cactus-canyon,cactus-canyon,G4835,G4835-Mb5eO,True,True,True,False,False,True,bally--cactus-canyon--1998-playfield_700.webp,cactus-canyon_700.webp,G4835-playfield_700.webp,bally--cactus-canyon--1998-rulesheet.md,cactus-canyon-rulesheet.md,G4835-rulesheet.md,,/pinball/images/playfields/G4835-playfield.jpg,high
The Avenue Cafe,Deadpool,Stern,2018,stern--deadpool--2018,deadpool,deadpool,G6lnq,G6lnq-Mq1kv,True,True,True,False,False,True,stern--deadpool--2018-playfield_700.webp,deadpool_700.webp,G6lnq-playfield_700.webp,stern--deadpool--2018-rulesheet.md,deadpool-rulesheet.md,G6lnq-rulesheet.md,,/pinball/images/playfields/G6lnq-playfield.png,high
The Avenue Cafe,Dungeons & Dragons: The Tyrant's Eye,Stern,2025,stern--dungeons-and-dragons-the-tyrants-eye--2025,dungeons-and-dragons-the-tyrants-eye,dungeons-and-dragons-the-tyrants-eye,GK1Ej,GK1Ej-MePok,True,True,True,False,False,True,stern--dungeons-and-dragons-the-tyrants-eye--2025-playfield_700.webp,dungeons-and-dragons-the-tyrants-eye_700.webp,GK1Ej-playfield_700.webp,stern--dungeons-and-dragons-the-tyrants-eye--2025-rulesheet.md,dungeons-and-dragons-the-tyrants-eye-rulesheet.md,GK1Ej-rulesheet.md,,/pinball/images/playfields/GK1Ej-playfield.jpg,high
The Avenue Cafe,Elvira's House of Horrors,Stern,2019,stern--elviras-house-of-horrors--2019,elviras-house-of-horrors,elviras-house-of-horrors,GZVOd,GZVOd-MwNxZ,True,True,True,False,False,True,stern--elviras-house-of-horrors--2019-playfield_700.webp,elviras-house-of-horrors_700.webp,GZVOd-playfield_700.webp,stern--elviras-house-of-horrors--2019-rulesheet.md,elviras-house-of-horrors-rulesheet.md,GZVOd-rulesheet.md,,/pinball/images/playfields/GZVOd-playfield.jpg,high
The Avenue Cafe,Foo Fighters,Stern,2023,stern--foo-fighters--2023,foo-fighters,foo-fighters,GpeoL,GpeoL-MkPz1,True,True,True,False,False,True,stern--foo-fighters--2023-playfield_700.webp,foo-fighters_700.webp,GpeoL-playfield_700.webp,stern--foo-fighters--2023-rulesheet.md,foo-fighters-rulesheet.md,GpeoL-rulesheet.md,,/pinball/images/playfields/GpeoL-playfield.jpg,high
