library_name,source_file,row_number,game,manufacturer,year,v1_slug,v2_inferred_naming,v3_practice_identity,opdb_id,library_entry_id,asset_playfield_local_legacy,asset_playfield_local_practice,v1_playfield_700_webp_name,v2_playfield_700_webp_name_inferred,v3_playfield_700_webp_name
The Avenue Cafe,Avenue Pinball - Current.csv,40,Jurassic Park,Stern,2019,stern--jurassic-park-stern--2019,stern--GK17D--2019,GK17D,GK17D-MdEqz,v--8760--GK17D,,/pinball/images/playfields/GK17D-playfield.jpg,stern--jurassic-park-stern--2019-playfield_700.webp,stern--GK17D--2019-playfield_700.webp,GK17D-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,37,King Kong,Stern,2025,stern--king-kong-myth-of-terror-island--2025,stern--GEL0V--2025,GEL0V,GEL0V-MyN8E,v--8760--GEL0V,,/pinball/images/playfields/GEL0V-playfield.jpg,stern--king-kong-myth-of-terror-island--2025-playfield_700.webp,stern--GEL0V--2025-playfield_700.webp,GEL0V-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,22,Kiss,Stern,2015,stern--kiss--2015,stern--G4qX5--2015,G4qX5,G4qX5-Ml9jb,v--8760--G4qX5,,/pinball/images/playfields/G4qX5-playfield.jpg,stern--kiss--2015-playfield_700.webp,stern--G4qX5--2015-playfield_700.webp,G4qX5-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,46,Medieval Madness,Williams,1997,williams--medieval-madness--1997,williams--G5pe4--1997,G5pe4,G5pe4-MePZv,v--8760--G5pe4,,/pinball/images/playfields/G5pe4-playfield.jpg,williams--medieval-madness--1997-playfield_700.webp,williams--G5pe4--1997-playfield_700.webp,G5pe4-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,3,Metallica,Stern,2013,stern--metallica--2013,stern--GRBE4--2013,GRBE4,GRBE4-MQK1Z,v--8760--GRBE4,,/pinball/images/playfields/GRBE4-playfield.jpg,stern--metallica--2013-playfield_700.webp,stern--GRBE4--2013-playfield_700.webp,GRBE4-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,13,Monster Bash,Williams,1998,williams--monster-bash--1998,williams--Gr3EW--1998,Gr3EW,Gr3EW-MD3Nj,v--8760--Gr3EW,,/pinball/images/playfields/Gr3EW-playfield.jpg,williams--monster-bash--1998-playfield_700.webp,williams--Gr3EW--1998-playfield_700.webp,Gr3EW-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,26,Pulp Fiction,CGC,2024,cgc--pulp-fiction--2024,cgc--GoEkx--2024,GoEkx,GoEkx-MdEzN,v--8760--GoEkx,,/pinball/images/playfields/GoEkx-playfield.jpg,cgc--pulp-fiction--2024-playfield_700.webp,cgc--GoEkx--2024-playfield_700.webp,GoEkx-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,19,Rush,Stern,2022,stern--rush--2022,stern--G2Lkd--2022,G2Lkd,G2Lkd-M0ope,v--8760--G2Lkd,,/pinball/images/playfields/G2Lkd-playfield.jpg,stern--rush--2022-playfield_700.webp,stern--G2Lkd--2022-playfield_700.webp,G2Lkd-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,30,Scared Stiff,Bally,1996,bally--scared-stiff--1996,bally--G4xbP--1996,G4xbP,G4xbP-Mp45Y,v--8760--G4xbP,,/pinball/images/playfields/G4xbP-playfield.jpg,bally--scared-stiff--1996-playfield_700.webp,bally--G4xbP--1996-playfield_700.webp,G4xbP-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,5,Star Trek,Stern,2013,stern--star-trek--2013,stern--Gryw4--2013,Gryw4,Gryw4-MNEKn,v--8760--Gryw4,,/pinball/images/playfields/Gryw4-playfield.jpg,stern--star-trek--2013-playfield_700.webp,stern--Gryw4--2013-playfield_700.webp,Gryw4-playfield_700.webp
